date,year,month,arrivals_million,trend_cycle_centered_ma12,seasonal_additive_factor,residual_additive
2019-01,2019,1,30.872,,2.355121875000001,
2019-02,2019,2,30.366,,-0.2730343749999999,
2019-03,2019,3,31.985,,-2.545096875,
2019-04,2019,4,31.581,,-2.5857635416666667,
2019-05,2019,5,29.354,,-2.057315625000001,
2019-06,2019,6,29.556,,-1.1697322916666684,
2019-07,2019,7,30.872,30.124249999999996,0.281065625000001,0.4666843750000025
2019-08,2019,8,30.366,29.433874999999997,0.5217739583333341,0.4103510416666687
2019-09,2019,9,27.127,27.667541666666665,-0.4722177083333335,-0.06832395833333255
2019-10,2019,10,29.354,25.216958333333334,0.8224864583333326,3.3145552083333323
2019-11,2019,11,29.556,22.757166666666667,1.660163541666667,5.1386697916666675
2019-12,2019,12,31.682,20.381749999999997,3.462548958333333,7.837701041666669
2020-01,2020,1,28.512,17.96291666666666,2.355121875000001,8.193961458333337
2020-02,2020,2,16.157,15.569749999999996,-0.2730343749999999,0.8602843750000044
2020-03,2020,3,3.802,13.352416666666663,-2.545096875,-7.005319791666663
2020-04,2020,4,0.95,11.109916666666667,-2.5857635416666667,-7.5741531250000005
2020-05,2020,5,0.95,8.71075,-2.057315625000001,-5.703434375
2020-06,2020,6,0.95,6.214583333333334,-1.1697322916666684,-4.094851041666665
2020-07,2020,7,1.426,3.801333333333333,0.281065625000001,-2.656398958333334
2020-08,2020,8,2.376,2.0664583333333333,0.5217739583333341,-0.21223229166666746
2020-09,2020,9,1.901,1.3695833333333332,-0.4722177083333335,1.0036343750000003
2020-10,2020,10,0.76,1.327375,0.8224864583333326,-1.3898614583333324
2020-11,2020,11,0.57,1.4166249999999998,1.660163541666667,-2.506788541666667
2020-12,2020,12,0.76,1.505875,3.462548958333333,-4.208423958333333
2021-01,2021,1,1.516,1.587916666666667,2.355121875000001,-2.427038541666668
2021-02,2021,2,1.516,1.6147500000000004,-0.2730343749999999,0.17428437499999955
2021-03,2021,3,1.718,1.6091666666666666,-2.545096875,2.6539302083333336
2021-04,2021,4,2.021,1.6793333333333331,-2.5857635416666667,2.9274302083333335
2021-05,2021,5,2.021,1.8470416666666662,-2.057315625000001,2.2312739583333348
2021-06,2021,6,2.021,2.0779166666666664,-1.1697322916666684,1.1128156250000019
2021-07,2021,7,2.324,2.2452916666666667,0.281065625000001,-0.20235729166666783
2021-08,2021,8,2.122,2.327833333333333,0.5217739583333341,-0.7276072916666672
2021-09,2021,9,2.021,2.424208333333333,-0.4722177083333335,0.06900937500000032
2021-10,2021,10,2.324,2.570666666666667,0.8224864583333326,-1.0691531249999997
2021-11,2021,11,3.031,2.8200416666666666,1.660163541666667,-1.4492052083333333
2021-12,2021,12,3.84,3.1938333333333335,3.462548958333333,-2.8163822916666668
2022-01,2022,1,2.453,3.701666666666667,2.355121875000001,-3.603788541666668
2022-02,2022,2,2.56,4.28975,-0.2730343749999999,-1.4567156249999997
2022-03,2022,3,2.987,4.899375,-2.545096875,0.6327218750000001
2022-04,2022,4,4.267,5.580583333333333,-2.5857635416666667,1.2721802083333338
2022-05,2022,5,5.76,6.357458333333334,-2.057315625000001,1.4598572916666672
2022-06,2022,6,7.253,7.271166666666668,-1.1697322916666684,1.1515656250000008
2022-07,2022,7,9.28,8.282708333333332,0.281065625000001,0.7162260416666664
2022-08,2022,8,9.28,9.329875,0.5217739583333341,-0.5716489583333342
2022-09,2022,9,9.494,10.480374999999999,-0.4722177083333335,-0.5141572916666655
2022-10,2022,10,11.2,11.664416666666664,0.8224864583333326,-1.2869031249999976
2022-11,2022,11,12.8,12.753874999999999,1.660163541666667,-1.6140385416666652
2022-12,2022,12,16.0,13.781708333333333,3.462548958333333,-1.2442572916666657
2023-01,2023,1,14.57,14.809375,2.355121875000001,-2.594496875
2023-02,2023,2,15.575,15.85725,-0.2730343749999999,-0.009215625000001337
2023-03,2023,3,17.584,16.841791666666666,-2.545096875,3.287305208333334
2023-04,2023,4,18.087,17.72958333333333,-2.5857635416666667,2.943180208333336
2023-05,2023,5,18.087,18.563375,-2.057315625000001,1.5809406250000002
2023-06,2023,6,19.594,19.364625000000004,-1.1697322916666684,1.3991072916666658
2023-07,2023,7,21.603,20.185291666666664,0.281065625000001,1.1366427083333361
2023-08,2023,8,22.106,21.022291666666664,0.5217739583333341,0.5619343750000034
2023-09,2023,9,20.297,21.798583333333333,-0.4722177083333335,-1.0293656249999992
2023-10,2023,10,21.704,,0.8224864583333326,
2023-11,2023,11,22.307,,1.660163541666667,
2023-12,2023,12,25.723,,3.462548958333333,
2024-01,2024,1,24.543,,2.355121875000001,
2024-02,2024,2,25.69,,-0.2730343749999999,
2024-03,2024,3,26.1,,-2.545096875,
