region,year,month,date,international_tourist_arrivals_million,unit,data_status,annual_total_million_used_for_scaling,source_note
Asia and the Pacific,2021,6,2021-06,2.021,million arrivals,digitized from official UN Tourism chart; annual-adjusted,26.475,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2021,7,2021-07,2.324,million arrivals,digitized from official UN Tourism chart; annual-adjusted,26.475,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2021,8,2021-08,2.122,million arrivals,digitized from official UN Tourism chart; annual-adjusted,26.475,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2021,9,2021-09,2.021,million arrivals,digitized from official UN Tourism chart; annual-adjusted,26.475,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2021,10,2021-10,2.324,million arrivals,digitized from official UN Tourism chart; annual-adjusted,26.475,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2021,11,2021-11,3.031,million arrivals,digitized from official UN Tourism chart; annual-adjusted,26.475,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2021,12,2021-12,3.84,million arrivals,digitized from official UN Tourism chart; annual-adjusted,26.475,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2022,1,2022-01,2.453,million arrivals,digitized from official UN Tourism chart; annual-adjusted,93.335,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2022,2,2022-02,2.56,million arrivals,digitized from official UN Tourism chart; annual-adjusted,93.335,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2022,3,2022-03,2.987,million arrivals,digitized from official UN Tourism chart; annual-adjusted,93.335,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2022,4,2022-04,4.267,million arrivals,digitized from official UN Tourism chart; annual-adjusted,93.335,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2022,5,2022-05,5.76,million arrivals,digitized from official UN Tourism chart; annual-adjusted,93.335,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2022,6,2022-06,7.253,million arrivals,digitized from official UN Tourism chart; annual-adjusted,93.335,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2022,7,2022-07,9.28,million arrivals,digitized from official UN Tourism chart; annual-adjusted,93.335,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2022,8,2022-08,9.28,million arrivals,digitized from official UN Tourism chart; annual-adjusted,93.335,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2022,9,2022-09,9.494,million arrivals,digitized from official UN Tourism chart; annual-adjusted,93.335,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2022,10,2022-10,11.2,million arrivals,digitized from official UN Tourism chart; annual-adjusted,93.335,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2022,11,2022-11,12.8,million arrivals,digitized from official UN Tourism chart; annual-adjusted,93.335,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2022,12,2022-12,16.0,million arrivals,digitized from official UN Tourism chart; annual-adjusted,93.335,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2023,1,2023-01,14.57,million arrivals,digitized from official UN Tourism chart; annual-adjusted,237.235,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2023,2,2023-02,15.575,million arrivals,digitized from official UN Tourism chart; annual-adjusted,237.235,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2023,3,2023-03,17.584,million arrivals,digitized from official UN Tourism chart; annual-adjusted,237.235,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2023,4,2023-04,18.087,million arrivals,digitized from official UN Tourism chart; annual-adjusted,237.235,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2023,5,2023-05,18.087,million arrivals,digitized from official UN Tourism chart; annual-adjusted,237.235,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2023,6,2023-06,19.594,million arrivals,digitized from official UN Tourism chart; annual-adjusted,237.235,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2023,7,2023-07,21.603,million arrivals,digitized from official UN Tourism chart; annual-adjusted,237.235,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2023,8,2023-08,22.106,million arrivals,digitized from official UN Tourism chart; annual-adjusted,237.235,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2023,9,2023-09,20.297,million arrivals,digitized from official UN Tourism chart; annual-adjusted,237.235,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2023,10,2023-10,21.704,million arrivals,digitized from official UN Tourism chart; annual-adjusted,237.235,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2023,11,2023-11,22.307,million arrivals,digitized from official UN Tourism chart; annual-adjusted,237.235,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2023,12,2023-12,25.723,million arrivals,digitized from official UN Tourism chart; annual-adjusted,237.235,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2024,1,2024-01,24.543,million arrivals,computed from official UN Tourism 2024 vs 2019 monthly percentage; 2024 partial,,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2024,2,2024-02,25.69,million arrivals,computed from official UN Tourism 2024 vs 2019 monthly percentage; 2024 partial,,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2024,3,2024-03,26.1,million arrivals,computed from official UN Tourism 2024 vs 2019 monthly percentage; 2024 partial,,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
