lag,acf_raw_2019_2023,acf_first_difference,acf_12_month_seasonal_difference
1,0.9723407969130116,0.560784775781055,0.9671769271343803
2,0.9127302629540383,0.11892226048667263,0.9015420166650224
3,0.8430676131861962,-0.0592007311414982,0.8515934675154203
4,0.774015081061934,-0.00600785565636179,0.812026668661604
5,0.6998508871951603,0.048393767309190365,0.7701862442884941
6,0.6180322250942815,0.09165307601229605,0.7325320704204963
7,0.5260514609763265,0.09176649200080891,0.6998476632222523
8,0.4239756267576619,0.08099464007514985,0.6573488530049876
9,0.31411398696585796,0.08753727575118012,0.5929169076888458
10,0.18504019421295162,0.05521498388237702,0.5288617867474782
11,0.04365571308579134,-0.05749905199744912,0.47140414812812154
12,-0.1175596234188083,0.021142271290741577,0.49153819984092245
13,-0.2959642402286458,0.06403177549752076,0.6438657838177037
14,-0.4078710741473356,0.08557209108266361,0.8166332142199378
15,-0.4573183433304746,0.13229228318542224,0.8632923194054618
16,-0.49204388853693165,0.12038708394782592,0.8626879925439016
17,-0.5279145148195834,0.1797875351603596,0.8476059562232233
18,-0.5676882649304033,0.16122921500223827,0.8170173100573572
19,-0.6044958996423377,0.12004349554467293,0.7818520596300628
20,-0.6406436862699647,0.07919781694697492,0.7714632266692205
21,-0.6706968376966389,0.025555969713475492,0.7585499049165314
22,-0.692397252777014,0.20806061283651905,0.7068426414272563
23,-0.716850736157017,0.28067002027570553,0.6012723558477342
24,-0.7486285964174324,0.15927711493111466,0.4493705969200698
