date,year,month,month_name,arrivals_million,trend_cycle_centered_ma12,seasonal_factor,residual,residual_z_score,iqr_flag,residual_flag_abs_z_ge_2,domain_flag_covid_low_level,comment
2019-12,2019,12,Dec,31.682,20.381749999999997,3.462548958333333,7.837701041666669,2.6293027592144016,False,True,False,large residual
2020-01,2020,1,Jan,28.512,17.96291666666666,2.355121875000001,8.193961458333337,2.7471948471094634,False,True,False,large residual
2020-03,2020,3,Mar,3.802,13.352416666666663,-2.545096875,-7.005319791666663,-2.2824826506949503,False,True,True,COVID-period extreme low level
2020-04,2020,4,Apr,0.95,11.109916666666667,-2.5857635416666667,-7.5741531250000005,-2.470718408005367,False,True,True,COVID-period extreme low level
2020-05,2020,5,May,0.95,8.71075,-2.057315625000001,-5.703434375,-1.851668609081763,False,False,True,COVID-period extreme low level
2020-06,2020,6,Jun,0.95,6.214583333333334,-1.1697322916666684,-4.094851041666665,-1.319363478205269,False,False,True,COVID-period extreme low level
2020-07,2020,7,Jul,1.426,3.801333333333333,0.281065625000001,-2.656398958333334,-0.8433574121150362,False,False,True,COVID-period extreme low level
2020-08,2020,8,Aug,2.376,2.0664583333333333,0.5217739583333341,-0.21223229166666746,-0.034544818807905185,False,False,True,COVID-period extreme low level
2020-09,2020,9,Sep,1.901,1.3695833333333332,-0.4722177083333335,1.0036343750000003,0.3678042865923123,False,False,True,COVID-period extreme low level
2020-10,2020,10,Oct,0.76,1.327375,0.8224864583333326,-1.3898614583333324,-0.4242405434226127,False,False,True,COVID-period extreme low level
2020-11,2020,11,Nov,0.57,1.4166249999999998,1.660163541666667,-2.506788541666667,-0.7938490088051443,False,False,True,COVID-period extreme low level
2020-12,2020,12,Dec,0.76,1.505875,3.462548958333333,-4.208423958333333,-1.3569465147924997,False,False,True,COVID-period extreme low level
2021-01,2021,1,Jan,1.516,1.587916666666667,2.355121875000001,-2.427038541666668,-0.7674584990269339,False,False,True,COVID-period extreme low level
2021-02,2021,2,Feb,1.516,1.6147500000000004,-0.2730343749999999,0.17428437499999955,0.09335953067307468,False,False,True,COVID-period extreme low level
2021-03,2021,3,Mar,1.718,1.6091666666666666,-2.545096875,2.6539302083333336,0.9139127295581301,False,False,True,COVID-period extreme low level
2021-04,2021,4,Apr,2.021,1.6793333333333331,-2.5857635416666667,2.9274302083333335,1.004418114189361,False,False,True,COVID-period extreme low level
2021-05,2021,5,May,2.021,1.8470416666666662,-2.057315625000001,2.2312739583333348,0.7740492323989213,False,False,True,COVID-period extreme low level
2021-06,2021,6,Jun,2.021,2.0779166666666664,-1.1697322916666684,1.1128156250000019,0.40393405268287436,False,False,True,COVID-period extreme low level
2021-07,2021,7,Jul,2.324,2.2452916666666667,0.281065625000001,-0.20235729166666783,-0.03127702841217073,False,False,True,COVID-period extreme low level
2021-08,2021,8,Aug,2.122,2.327833333333333,0.5217739583333341,-0.7276072916666672,-0.2050903859169386,False,False,True,COVID-period extreme low level
2021-09,2021,9,Sep,2.021,2.424208333333333,-0.4722177083333335,0.06900937500000032,0.05852240318842102,False,False,True,COVID-period extreme low level
2021-10,2021,10,Oct,2.324,2.570666666666667,0.8224864583333326,-1.0691531249999997,-0.31811319035945257,False,False,True,COVID-period extreme low level
2021-11,2021,11,Nov,3.031,2.8200416666666666,1.660163541666667,-1.4492052083333333,-0.44387830912356224,False,False,True,COVID-period extreme low level
2021-12,2021,12,Dec,3.84,3.1938333333333335,3.462548958333333,-2.8163822916666668,-0.896298374154962,False,False,True,COVID-period extreme low level
