Сервис,цена,скорость доставки,общее качество,Интегральная оценка,Станд. отклонение,Медиана,Средний ранг
Яндекс Еда,6.683333333333334,7.45,7.95,7.361111111111111,0.6674900753028067,7.333333333333333,3.408333333333333
Самокат,6.633333333333334,8.566666666666666,7.516666666666667,7.572222222222223,0.6612539211783152,7.666666666666667,3.775
Delivery Club,6.766666666666667,7.016666666666667,7.133333333333334,6.972222222222223,0.8078980811209855,7.0,2.775
Купер,7.1,6.633333333333334,6.8,6.844444444444444,0.6846904442112689,7.0,2.425
Ozon Fresh,7.316666666666666,6.5,6.9,6.905555555555555,0.8326927858344069,7.0,2.6166666666666667
